yourlist:M201705058A530B6CA0138AFAA6D2B97CE8C2A924D0C2A2K	Entry	Entry name	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism
P29755	P29755	AGTRB_MOUSE	Type-1B angiotensin II receptor (AT3) (Angiotensin II type-1B receptor) (AT1B)	Agtr1b	Agtr1b				Mus musculus (Mouse)
P29754	P29754	AGTRA_MOUSE	Type-1A angiotensin II receptor (Angiotensin II type-1A receptor) (AT1A)	Agtr1a Agtr1	Agtr1a	Agtr1			Mus musculus (Mouse)
P29747	P29747	CREBA_DROME	Cyclic AMP response element-binding protein A (cAMP response element-binding protein A) (dCREB-A) (Box B-binding factor 2) (BBF-2)	CrebA Bbbf2 CG7450	CrebA	Bbbf2		CG7450	Drosophila melanogaster (Fruit fly)
P29746	P29746	BNB_DROME	Protein bangles and beads	bnb CG7088	bnb			CG7088	Drosophila melanogaster (Fruit fly)
P29742	P29742	CLH_DROME	Clathrin heavy chain	Chc CG9012	Chc			CG9012	Drosophila melanogaster (Fruit fly)
P29728	P29728	OAS2_HUMAN	2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84) (p69 OAS / p71 OAS) (p69OAS / p71OAS)	OAS2	OAS2				Homo sapiens (Human)
P29717	P29717	EXG1_CANAL	Glucan 1,3-beta-glucosidase (EC 2.4.1.-) (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	XOG1 EXG EXG1 XOG CAALFM_C102990CA Ca49C10.05 CaO19.10507 CaO19.2990	XOG1	EXG EXG1 XOG	CAALFM_C102990CA	Ca49C10.05 CaO19.10507 CaO19.2990	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
P29703	P29703	FNTA_YEAST	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)	RAM2 YKL019W	RAM2		YKL019W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P29681	P29681	IMPE2_DROME	20-hydroxyecdysone protein (20-HE)	ImpE2 IMP-E2 CG1934	ImpE2	IMP-E2		CG1934	Drosophila melanogaster (Fruit fly)
P29675	P29675	SF3_HELAN	Pollen-specific protein SF3	SF3	SF3				Helianthus annuus (Common sunflower)
P29626	P29626	HBBY_MESAU	Hemoglobin subunit beta-Y (Beta-Y-globin) (Hemoglobin beta-Y chain)	HBBY	HBBY				Mesocricetus auratus (Golden hamster)
P29622	P29622	KAIN_HUMAN	Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4) (PI-4) (Serpin A4)	SERPINA4 KST PI4	SERPINA4	KST PI4			Homo sapiens (Human)
P29597	P29597	TYK2_HUMAN	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2	TYK2				Homo sapiens (Human)
P29552	P29552	ABDA_AEDAE	Homeobox protein abdominal-A homolog	abd-A AAEL009742	abd-A			AAEL009742	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
P29513	P29513	TBB5_ARATH	Tubulin beta-5 chain (Beta-5-tubulin)	TUBB5 TUB5 At1g20010 T20H2.21	TUBB5	TUB5	At1g20010	T20H2.21	Arabidopsis thaliana (Mouse-ear cress)
P29511	P29511	TBA6_ARATH	Tubulin alpha-6 chain	TUBA6 TUA6 At4g14960 dl3520c	TUBA6	TUA6	At4g14960	dl3520c	Arabidopsis thaliana (Mouse-ear cress)
P29506	P29506	UNC4_CAEEL	Homeobox protein unc-4 (Homeobox protein ceh-4) (Uncoordinated protein 4)	unc-4 ceh-4 F26C11.2	unc-4	ceh-4		F26C11.2	Caenorhabditis elegans
P29499	P29499	MT1_HOMAM	Metallothionein-1 (CuMT-1)						Homarus americanus (American lobster)
P29484	P29484	TCPS_VIBCH	Toxin coregulated pilus biosynthesis protein S (TCP pilus biosynthesis protein TcpS)	tcpS VC_0834	tcpS		VC_0834		Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)
P29475	P29475	NOS1_HUMAN	Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS)	NOS1	NOS1				Homo sapiens (Human)
P29474	P29474	NOS3_HUMAN	Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)	NOS3	NOS3				Homo sapiens (Human)
P29468	P29468	PAP_YEAST	Poly(A) polymerase (PAP) (EC 2.7.7.19) (Polynucleotide adenylyltransferase)	PAP1 YKR002W	PAP1		YKR002W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P29466	P29466	CASP1_HUMAN	Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]	CASP1 IL1BC IL1BCE	CASP1	IL1BC IL1BCE			Homo sapiens (Human)
P29465	P29465	CHS3_YEAST	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)	CHS3 CAL1 CSD2 DIT101 KIT2 YBR023C YBR0305	CHS3	CAL1 CSD2 DIT101 KIT2	YBR023C	YBR0305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P29459	P29459	IL12A_HUMAN	Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1)	IL12A NKSF1	IL12A	NKSF1			Homo sapiens (Human)
P29447	P29447	THIO3_DICDI	Thioredoxin-3 (Trx-3)	trxC trx3 DDB_G0294489	trxC	trx3		DDB_G0294489	Dictyostelium discoideum (Slime mold)
P29401	P29401	TKT_HUMAN	Transketolase (TK) (EC 2.2.1.1)	TKT	TKT				Homo sapiens (Human)
P29391	P29391	FRIL1_MOUSE	Ferritin light chain 1 (Ferritin L subunit 1)	Ftl1 Ftl Ftl-1	Ftl1	Ftl Ftl-1			Mus musculus (Mouse)
P29385	P29385	AGL5_ARATH	Agamous-like MADS-box protein AGL5 (Protein SHATTERPROOF 2)	AGL5 SHP2 At2g42830 F7D19.17	AGL5	SHP2	At2g42830	F7D19.17	Arabidopsis thaliana (Mouse-ear cress)
P29381	P29381	AGL1_ARATH	Agamous-like MADS-box protein AGL1 (Protein SHATTERPROOF 1)	AGL1 SHP1 At3g58780 T20N10_130	AGL1	SHP1	At3g58780	T20N10_130	Arabidopsis thaliana (Mouse-ear cress)
P29380	P29380	CYC_ARATH	Cytochrome c	CC-1	CC-1				Arabidopsis thaliana (Mouse-ear cress)
P29377	P29377	S100G_HUMAN	Protein S100-G (Calbindin-D9k) (S100 calcium-binding protein G) (Vitamin D-dependent calcium-binding protein, intestinal) (CABP)	S100G CABP9K CALB3 S100D	S100G	CABP9K CALB3 S100D			Homo sapiens (Human)
P29376	P29376	LTK_HUMAN	Leukocyte tyrosine kinase receptor (EC 2.7.10.1) (Protein tyrosine kinase 1)	LTK TYK1	LTK	TYK1			Homo sapiens (Human)
P29375	P29375	KDM5A_HUMAN	Lysine-specific demethylase 5A (EC 1.14.11.-) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2)	KDM5A JARID1A RBBP2 RBP2	KDM5A	JARID1A RBBP2 RBP2			Homo sapiens (Human)
P29374	P29374	ARI4A_HUMAN	AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1) (RBBP-1)	ARID4A RBBP1 RBP1	ARID4A	RBBP1 RBP1			Homo sapiens (Human)
P29373	P29373	RABP2_HUMAN	Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II)	CRABP2	CRABP2				Homo sapiens (Human)
P29371	P29371	NK3R_HUMAN	Neuromedin-K receptor (NKR) (NK-3 receptor) (NK-3R) (Neurokinin B receptor) (Tachykinin receptor 3)	TACR3 NK3R TAC3R	TACR3	NK3R TAC3R			Homo sapiens (Human)
P29366	P29366	BEM1_YEAST	Bud emergence protein 1 (Suppressor of RHO3 protein 1)	BEM1 SRO1 YBR200W YBR1412	BEM1	SRO1	YBR200W	YBR1412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P29355	P29355	SEM5_CAEEL	Sex muscle abnormal protein 5	sem-5 C14F5.5	sem-5			C14F5.5	Caenorhabditis elegans
P29350	P29350	PTN6_HUMAN	Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1)	PTPN6 HCP PTP1C	PTPN6	HCP PTP1C			Homo sapiens (Human)
P29349	P29349	CSW_DROME	Tyrosine-protein phosphatase corkscrew (EC 3.1.3.48)	csw CG3954	csw			CG3954	Drosophila melanogaster (Fruit fly)
P29336	P29336	GTFS_STRDO	Glucosyltransferase-S (GTF-S) (EC 2.4.1.5) (Dextransucrase) (Sucrose 6-glucosyltransferase)	gtfS	gtfS				Streptococcus downei (Streptococcus sobrinus)
P29327	P29327	RS6_DROME	40S ribosomal protein S6	RpS6 hen l(1)air8 CG10944	RpS6	hen l(1)air8		CG10944	Drosophila melanogaster (Fruit fly)
P29322	P29322	EPHA8_HUMAN	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)	EPHA8 EEK HEK3 KIAA1459	EPHA8	EEK HEK3 KIAA1459			Homo sapiens (Human)
P29317	P29317	EPHA2_HUMAN	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	EPHA2	ECK			Homo sapiens (Human)
P29311	P29311	BMH1_YEAST	Protein BMH1	BMH1 YER177W	BMH1		YER177W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P29310	P29310	1433Z_DROME	14-3-3 protein zeta (14-3-3-like protein) (Protein Leonardo)	14-3-3zeta 14-3-3 14-3-3EZ leo THAP CG17870	14-3-3zeta	14-3-3 14-3-3EZ leo THAP		CG17870	Drosophila melanogaster (Fruit fly)
P29309	P29309	1433_XENLA	14-3-3-like protein (Fragment)						Xenopus laevis (African clawed frog)
P29295	P29295	HRR25_YEAST	Casein kinase I homolog HRR25 (EC 2.7.11.1)	HRR25 YPL204W	HRR25		YPL204W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P29268	P29268	CTGF_MOUSE	Connective tissue growth factor (CCN family member 2) (Hypertrophic chondrocyte-specific protein 24) (Protein FISP-12)	Ctgf Ccn2 Fisp-12 Fisp12 Hcs24	Ctgf	Ccn2 Fisp-12 Fisp12 Hcs24			Mus musculus (Mouse)
P29261	P29261	AH3_PRUSE	Amygdalin beta-glucosidase 2 (EC 3.2.1.117) (Amygdalin beta-glucosidase II) (Amygdalin hydrolase isozyme II) (AH II) (Fragment)						Prunus serotina (Black cherry)
P29259	P29259	AH1_PRUSE	Amygdalin beta-glucosidase 1 (EC 3.2.1.117) (Amygdalin beta-glucosidase I) (Amygdalin hydrolase isozyme I) (AH I) (Fragment)						Prunus serotina (Black cherry)
P29243	P29243	GLBV_CHITP	Globin CTT-V (HBV)	CTT-V	CTT-V				Chironomus thummi piger (Midge) (Chironomus piger)
P29241	P29241	NADA_APLCA	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase) (ADPRC) (ADRC) (NAD glycohydrolase) (NAD(+) nucleosidase) (NADase)						Aplysia californica (California sea hare)
P29240	P29240	5NTD_DIPOM	5'-nucleotidase (EC 3.1.3.5) (Ecto-nucleotidase)						Diplobatis ommata (Ocellated electric ray) (Discopyge ommata)
P29233	P29233	SENA_APLCA	Sensorin-A [Cleaved into: Peptide B; Sensorin-A]	PSC1	PSC1				Aplysia californica (California sea hare)
P29218	P29218	IMPA1_HUMAN	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)	IMPA1 IMPA	IMPA1	IMPA			Homo sapiens (Human)
P29214	P29214	DBH_GUITH	DNA-binding protein HU homolog (Histone-like protein)	hup hcfC hlp hlpA	hup	hcfC hlp hlpA			Guillardia theta (Cryptomonas phi)
P29144	P29144	TPP2_HUMAN	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	TPP2	TPP2				Homo sapiens (Human)
P29128	P29128	ICP0_BHV1J	E3 ubiquitin-protein ligase ICP0 (EC 2.3.2.27) (IER 2.9/ER2.6) (P135 protein) (RING-type E3 ubiquitin transferase ICP0)	BICP0	BICP0				Bovine herpesvirus 1.1 (strain Jura) (BoHV-1) (Infectious bovine rhinotracheitis virus)
P29123	P29123	US10_EHV1K	Virion protein US10 homolog (Gene 66 protein) (IR5 protein) (ORF S2-1)	IR5	IR5				Equine herpesvirus 1 (strain Kentucky A) (EHV-1) (Equine abortion virus)
P29092	P29092	MYR3_SINAL	Myrosinase MB3 (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase)						Sinapis alba (White mustard) (Brassica hirta)
P29074	P29074	PTN4_HUMAN	Tyrosine-protein phosphatase non-receptor type 4 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG1) (MEG) (PTPase-MEG1)	PTPN4	PTPN4				Homo sapiens (Human)
P29072	P29072	CHEA_BACSU	Chemotaxis protein CheA (EC 2.7.13.3)	cheA cheN BSU16430	cheA	cheN	BSU16430		Bacillus subtilis (strain 168)
P29056	P29056	TF3B_YEAST	Transcription factor IIIB 70 kDa subunit (TFIIIB) (B-related factor 1) (BRF-1)	BRF1 PCF4 TDS4 YGR246C	BRF1	PCF4 TDS4	YGR246C		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28957	P28957	SHUT_EHV1B	Virion host shutoff protein (Vhs) (EC 3.1.27.-)	19			19		Equine herpesvirus 1 (strain Ab4p) (EHV-1) (Equine abortion virus)
P28907	P28907	CD38_HUMAN	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (T10) (CD antigen CD38)	CD38	CD38				Homo sapiens (Human)
P28867	P28867	KPCD_MOUSE	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	Prkcd Pkcd	Prkcd	Pkcd			Mus musculus (Mouse)
P28838	P28838	AMPL_HUMAN	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)	LAP3 LAPEP PEPS	LAP3	LAPEP PEPS			Homo sapiens (Human)
P28827	P28827	PTPRM_HUMAN	Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)	PTPRM PTPRL1	PTPRM	PTPRL1			Homo sapiens (Human)
P28824	P28824	NRP1_XENLA	Neuropilin-1 (A5 antigen) (A5 protein)	nrp1	nrp1				Xenopus laevis (African clawed frog)
P28799	P28799	GRN_HUMAN	Granulins (Proepithelin) (PEPI) [Cleaved into: Acrogranin (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Progranulin); Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Granulin B); Granulin-4 (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]	GRN	GRN				Homo sapiens (Human)
P28777	P28777	AROC_YEAST	Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	ARO2 YGL148W	ARO2		YGL148W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28749	P28749	RBL1_HUMAN	Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1)	RBL1	RBL1				Homo sapiens (Human)
P28717	P28717	MER3_EUPOC	Mating pheromone 3	PHR3	PHR3				Euplotes octocarinatus
P28715	P28715	ERCC5_HUMAN	DNA repair protein complementing XP-G cells (EC 3.1.-.-) (DNA excision repair protein ERCC-5) (Xeroderma pigmentosum group G-complementing protein)	ERCC5 ERCM2 XPG XPGC	ERCC5	ERCM2 XPG XPGC			Homo sapiens (Human)
P28707	P28707	SBA1_YEAST	Co-chaperone protein SBA1	SBA1 YKL117W YKL518	SBA1		YKL117W	YKL518	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28676	P28676	GRAN_HUMAN	Grancalcin	GCA GCL	GCA	GCL			Homo sapiens (Human)
P28651	P28651	CAH8_MOUSE	Carbonic anhydrase-related protein (CARP) (Carbonic anhydrase VIII) (CA-VIII)	Ca8 Cals Cals1 Car8 Carp	Ca8	Cals Cals1 Car8 Carp			Mus musculus (Mouse)
P28612	P28612	MOTB_BACSU	Motility protein B (Chemotaxis protein MotB)	motB BSU13680	motB		BSU13680		Bacillus subtilis (strain 168)
P28586	P28586	LEC1_AXIPO	Lectin-1 (Lectin I)						Axinella polypoides (Yellow-orange branching sponge)
P28584	P28584	TRK2_YEAST	Low-affinity potassium transport protein	TRK2 RPD2 YKR050W	TRK2	RPD2	YKR050W		Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28557	P28557	PHCA_AGLNE	C-phycocyanin alpha chain	cpcA	cpcA				Aglaothamnion neglectum (Red alga)
P28549	P28549	CASA1_MACEU	Alpha-S1-casein (Alpha-casein)	CSN1S1	CSN1S1				Macropus eugenii (Tammar wallaby) (Notamacropus eugenii)
P28523	P28523	CSK2A_MAIZE	Casein kinase II subunit alpha (EC 2.7.11.1) (CK II) (CK2-alpha)	ACK2	ACK2				Zea mays (Maize)
P28517	P28517	CYPR_CALVI	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme (PPIase) (EC 5.2.1.8) (Rotamase)	NINAA	NINAA				Calliphora vicina (Blue blowfly) (Calliphora erythrocephala)
P28515	P28515	ELT1_CAEEL	Transcription factor elt-1	elt-1 W09C2.1	elt-1			W09C2.1	Caenorhabditis elegans
P28496	P28496	LAC1_YEAST	Sphingosine N-acyltransferase LAC1 (EC 2.3.1.24)	LAC1 DGT1 YKL008C YKL156	LAC1	DGT1	YKL008C	YKL156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28493	P28493	PR5_ARATH	Pathogenesis-related protein 5 (PR-5)	At1g75040 F9E10.11			At1g75040	F9E10.11	Arabidopsis thaliana (Mouse-ear cress)
P28472	P28472	GBRB3_HUMAN	Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3)	GABRB3	GABRB3				Homo sapiens (Human)
P28467	P28467	ACEA_ACICA	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase) (Fragment)	aceA	aceA				Acinetobacter calcoaceticus
P28368	P28368	HPF_BACSU	Ribosome hibernation promotion factor (HPF) (Hst23) (Putative sigma-54 modulation protein) (SigL modulation protein)	yvyD hpf yviI BSU35310 orf189	yvyD	hpf yviI	BSU35310	orf189	Bacillus subtilis (strain 168)
P28358	P28358	HXD10_HUMAN	Homeobox protein Hox-D10 (Homeobox protein Hox-4D) (Homeobox protein Hox-4E)	HOXD10 HOX4D HOX4E	HOXD10	HOX4D HOX4E			Homo sapiens (Human)
P28343	P28343	THS1_VITVI	Stilbene synthase 1 (EC 2.3.1.95) (PSV25) (Resveratrol synthase 1) (Trihydroxystilbene synthase 1) (StSy 1) (Vitis stilbene synthase 1)	VINST1 STS2 VST1 GSVIVT00009226001 LOC100256566 VITISV_035301	VINST1	STS2 VST1		GSVIVT00009226001 LOC100256566 VITISV_035301	Vitis vinifera (Grape)
P28335	P28335	5HT2C_HUMAN	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	HTR2C HTR1C	HTR2C	HTR1C			Homo sapiens (Human)
P28332	P28332	ADH6_HUMAN	Alcohol dehydrogenase 6 (EC 1.1.1.1)	ADH6	ADH6				Homo sapiens (Human)
P28330	P28330	ACADL_HUMAN	Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)	ACADL	ACADL				Homo sapiens (Human)
P28329	P28329	CLAT_HUMAN	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	CHAT	CHAT				Homo sapiens (Human)
P28324	P28324	ELK4_HUMAN	ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)	ELK4 SAP1	ELK4	SAP1			Homo sapiens (Human)
P28322	P28322	ETV4_MOUSE	ETS translocation variant 4 (Polyomavirus enhancer activator 3) (Protein PEA3)	Etv4 Pea-3 Pea3	Etv4	Pea-3 Pea3			Mus musculus (Mouse)
P28321	P28321	MGLL_YEAST	Monoglyceride lipase (MGL) (EC 3.1.1.23) (Monoacylglycerol hydrolase) (MAG hydrolase) (MGH) (Monoacylglycerol lipase) (MAG lipase) (MAGL) (Serine hydrolase YJU3)	YJU3 YKL094W YKL441	YJU3		YKL094W	YKL441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28320	P28320	CWC16_YEAST	Protein CWC16	YJU2 CWC16 YKL095W YKL442	YJU2	CWC16	YKL095W	YKL442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28319	P28319	CWP1_YEAST	Cell wall protein CWP1 (Glycoprotein GP40)	CWP1 YKL096W YJU1 YKL443	CWP1		YKL096W	YJU1 YKL443	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28312	P28312	DEFA5_MOUSE	Alpha-defensin 5 (Defensin-related cryptdin-5)	Defa5 Defcr5	Defa5	Defcr5			Mus musculus (Mouse)
P28309	P28309	DEFA2_MOUSE	Alpha-defensin 2 (Cryptdin-1) (Defensin-related cryptdin-2)	Defa2 Defcr2	Defa2	Defcr2			Mus musculus (Mouse)
P28301	P28301	LYOX_MOUSE	Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) (Ras excision protein)	Lox Rrg	Lox	Rrg			Mus musculus (Mouse)
P28300	P28300	LYOX_HUMAN	Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase)	LOX	LOX				Homo sapiens (Human)
P28293	P28293	CATG_MOUSE	Cathepsin G (EC 3.4.21.20) (Vimentin-specific protease) (VSP)	Ctsg	Ctsg				Mus musculus (Mouse)
P28290	P28290	SSFA2_HUMAN	Sperm-specific antigen 2 (Cleavage signal-1 protein) (CS-1) (Ki-ras-induced actin-interacting protein)	SSFA2 CS1 KIAA1927 KRAP	SSFA2	CS1 KIAA1927 KRAP			Homo sapiens (Human)
P28286	P28286	5HT2B_DROME	5-hydroxytryptamine receptor 2B (5-HT receptor 2B) (5-hydroxytryptamine receptor 1B) (5-HT receptor 1B) (Serotonin receptor 1B) (Serotonin receptor 2B)	5-HT1B 5HT-R2B CG15113	5-HT1B	5HT-R2B		CG15113	Drosophila melanogaster (Fruit fly)
P28252	P28252	ACCD_ANGLY	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD dedB ycf11 zfpA	accD	dedB ycf11 zfpA			Angiopteris lygodiifolia (Turnip fern)
P28249	P28249	ASMA_ECOLI	Protein AsmA	asmA yegA b2064 JW2049	asmA	yegA	b2064 JW2049		Escherichia coli (strain K12)
P28223	P28223	5HT2A_HUMAN	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A HTR2	HTR2A	HTR2			Homo sapiens (Human)
P28222	P28222	5HT1B_HUMAN	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)	HTR1B HTR1DB	HTR1B	HTR1DB			Homo sapiens (Human)
P28221	P28221	5HT1D_HUMAN	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)	HTR1D HTR1DA HTRL	HTR1D	HTR1DA HTRL			Homo sapiens (Human)
P28196	P28196	PTP4_STYPL	Tyrosine-protein phosphatase 4 (EC 3.1.3.48) (Fragment)	STY-4	STY-4				Styela plicata (Wrinkled sea squirt) (Ascidia plicata)
P28188	P28188	RAD2A_ARATH	Ras-related protein RABD2a (AtRABD2a) (Ras-related protein Ara-5) (Ras-related protein Rab1B) (AtRab1B)	RABD2A ARA-5 RAB1B At1g02130 T7I23.6	RABD2A	ARA-5 RAB1B	At1g02130	T7I23.6	Arabidopsis thaliana (Mouse-ear cress)
P28186	P28186	RAE1C_ARATH	Ras-related protein RABE1c (AtRABE1c) (Ras-related protein Ara-3) (Ras-related protein Rab8A) (AtRab8A)	RABE1C ARA-3 RAB8A At3g46060 F12M12.30	RABE1C	ARA-3 RAB8A	At3g46060	F12M12.30	Arabidopsis thaliana (Mouse-ear cress)
P28185	P28185	RAA1A_ARATH	Ras-related protein RABA1a (AtRABA1a) (Ras-related protein Ara-2) (Ras-related protein Rab11E) (AtRab11E)	RABA1A ARA-2 RAB11E At1g06400 T2D23.10 T2D23_5	RABA1A	ARA-2 RAB11E	At1g06400	T2D23.10 T2D23_5	Arabidopsis thaliana (Mouse-ear cress)
P28178	P28178	PK2_DICDI	Protein kinase 2 (PK2) (EC 2.7.11.1)	pkgB pfkA pkbr1 DDB_G0290157	pkgB	pfkA pkbr1		DDB_G0290157	Dictyostelium discoideum (Slime mold)
P28171	P28171	IFNT_CAPHI	Interferon tau (IFN-tau) (Antiluteolysin) (Trophoblast antiluteolytic protein) (Trophoblast protein 1) (TP-1) (Trophoblastin)	IFNT CTP-1	IFNT	CTP-1			Capra hircus (Goat)
